signal,time
500.0,1.0
1500.0,2.0
1507.2603227001864,3.0
2122.0487818793154,4.0
2886.4799372084813,5.0
2899.331916045385,6.0
2913.110626190379,7.0
3125.3705625999346,8.0
3125.3705625999346,9.0
3108.068218515809,10.0
3108.068218515809,11.0
3108.068218515809,12.0
3135.2874723645255,13.0
3135.2874723645255,14.0
2534.7338359578803,15.0
2285.755079734211,16.0
2468.2612490435845,17.0
2468.2612490435845,18.0
2468.2612490435845,19.0
2468.2612490435845,20.0
2468.2612490435845,21.0
2468.2612490435845,22.0
2468.2612490435845,23.0
2468.2612490435845,24.0
2468.2612490435845,25.0
2482.0513269558796,26.0
2769.460750213415,27.0
2595.095461704533,28.0
2595.095461704533,29.0
2595.095461704533,30.0
2595.095461704533,31.0
2595.095461704533,32.0
2595.095461704533,33.0
2595.095461704533,34.0
2595.095461704533,35.0
2595.095461704533,36.0
2680.862870677312,37.0
2680.862870677312,38.0
2680.862870677312,39.0
2680.862870677312,40.0
2667.669200258549,41.0
2667.669200258549,42.0
2667.669200258549,43.0
2667.669200258549,44.0
2672.1966869567573,45.0
2672.1966869567573,46.0
2672.1966869567573,47.0
2686.3516693979013,48.0
2686.3516693979013,49.0
2686.3516693979013,50.0
2686.3516693979013,51.0
2686.3516693979013,52.0
2686.3516693979013,53.0
2686.3516693979013,54.0
2706.3213716840423,55.0
2706.3213716840423,56.0
2706.3213716840423,57.0
2706.3213716840423,58.0
2706.3213716840423,59.0
2746.9209310459087,60.0
2746.9209310459087,61.0
2746.9209310459087,62.0
2746.9209310459087,63.0
2746.9209310459087,64.0
2746.9209310459087,65.0
2746.9209310459087,66.0
2746.9209310459087,67.0
2773.4752311388893,68.0
2773.4752311388893,69.0
2773.4752311388893,70.0
2773.4752311388893,71.0
2773.4752311388893,72.0
2773.4752311388893,73.0
2773.4752311388893,74.0
2773.4752311388893,75.0
2773.4752311388893,76.0
2773.4752311388893,77.0
2773.4752311388893,78.0
2773.4752311388893,79.0
2773.4752311388893,80.0
2773.4752311388893,81.0
2773.4752311388893,82.0
2773.4752311388893,83.0
2773.4752311388893,84.0
2773.4752311388893,85.0
2773.4752311388893,86.0
2773.4752311388893,87.0
2773.4752311388893,88.0
2773.4752311388893,89.0
2773.4752311388893,90.0
2773.4752311388893,91.0
2773.4752311388893,92.0
2773.4752311388893,93.0
2773.4752311388893,94.0
2773.4752311388893,95.0
2773.4752311388893,96.0
2773.4752311388893,97.0
2773.4752311388893,98.0
2773.4752311388893,99.0
2773.4752311388893,100.0
2773.4752311388893,101.0
2773.4752311388893,102.0
2773.4752311388893,103.0
2773.4752311388893,104.0
